
							About This Content
							NightCry Soundtrack with total 25 tracks!
You can experience the horror but beautiful NightCry world anytime by listening to these beautiful tracks composed by Nobuko Toda and Michiru Yamane.

No.	Title
1	NightCry Title Theme
2	Haunted Ship
3	Murky Waters
4	Ominous Presence
5	Close Behind
6	Eccentric Behavior
7	Sneak Attack
8	Blood In The Shadows
9	Scissorwalker
10	A Girl
11	Gray History
12	The Walk
13	Searchlight
14	Unfathomable Depths
15	Voyager
16	Time Out
17	The Cave
18	The Cult
19	Murder In The Woods
20	Path To Eternity
21	Monster In The Dark
22	Impending Disaster
23	This Is Reality
24	Escape
25	NightCry End Title						
